full_name,monetary,avgmonetary,frequency,last_order_date,max_order_date,recency,rfm_recency,rfm_frequency,rfm_monetary,rfm_cell,rfm_cell_string,rfm_segment
Ade Wastuti,178500136,1008475.0,177,2022-06-05 08:03:14.177867+00:00,2022-07-31 23:59:19.821469+00:00,56,3,5,5,13,553,potential loyalist
Ade Wibowo,19721032,469548.0,42,2022-07-14 18:45:59.854992+00:00,2022-07-31 23:59:19.821469+00:00,17,5,4,3,12,345,loyal
Ade Widiastuti,18449034,449976.0,41,2022-06-27 08:42:44.403782+00:00,2022-07-31 23:59:19.821469+00:00,34,4,4,3,11,344,loyal
Ade Wijayanti,2430573,607643.0,4,2021-12-29 17:40:52.061466+00:00,2022-07-31 23:59:19.821469+00:00,214,2,2,2,6,222,hibernating
Ade Winarsih,21613554,527160.0,41,2022-05-19 15:16:58.536423+00:00,2022-07-31 23:59:19.821469+00:00,73,3,4,3,10,343,need attention
Ade Yolanda,11197615,699851.0,16,2022-02-09 23:13:26.337361+00:00,2022-07-31 23:59:19.821469+00:00,172,2,3,3,8,332,about to sleep
Ade Yulianti,9054360,565898.0,16,2022-07-03 03:20:56.259069+00:00,2022-07-31 23:59:19.821469+00:00,28,4,3,3,10,334,need attention
Ade Yuliarti,49335725,1298309.0,38,2022-05-30 04:07:25.692022+00:00,2022-07-31 23:59:19.821469+00:00,62,3,4,4,11,443,potential loyalist
Ade Yuniar,14874943,594998.0,25,2022-06-26 05:54:32.781349+00:00,2022-07-31 23:59:19.821469+00:00,35,4,3,3,10,334,need attention
Ade Zulaika,19737166,822382.0,24,2022-05-16 09:38:35.107475+00:00,2022-07-31 23:59:19.821469+00:00,76,3,3,3,9,333,need attention
Adhiarja Budiyanto,208397,208397.0,1,2016-12-19 10:51:22.397861+00:00,2022-07-31 23:59:19.821469+00:00,2050,1,1,1,3,111,hibernating
Adhiarja Damanik,56987233,1582979.0,36,2022-05-27 20:13:44.685156+00:00,2022-07-31 23:59:19.821469+00:00,65,3,4,4,11,443,potential loyalist
Adhiarja Firgantoro,7807860,1951965.0,4,2017-01-28 10:42:38.930571+00:00,2022-07-31 23:59:19.821469+00:00,2010,1,2,3,6,321,about to sleep
Adhiarja Firmansyah,1327428,265486.0,5,2022-06-11 00:11:23.278757+00:00,2022-07-31 23:59:19.821469+00:00,50,3,2,1,6,123,hibernating
Adhiarja Gunawan,1162159,290540.0,4,2022-05-17 02:18:14.332018+00:00,2022-07-31 23:59:19.821469+00:00,75,3,2,1,6,123,hibernating
Adhiarja Haryanto,2750564,343820.0,8,2022-05-24 08:20:45.402632+00:00,2022-07-31 23:59:19.821469+00:00,68,3,2,2,7,223,at risk
Adhiarja Irawan,608339,608339.0,1,2021-06-27 16:51:14.213625+00:00,2022-07-31 23:59:19.821469+00:00,399,1,1,1,3,111,hibernating
Adhiarja Jailani,51636963,593528.0,87,2022-06-28 11:24:06.607600+00:00,2022-07-31 23:59:19.821469+00:00,33,4,5,4,13,454,loyal
Adhiarja Kusumo,3017809,3017809.0,1,2019-10-12 12:24:34.272612+00:00,2022-07-31 23:59:19.821469+00:00,1023,1,1,2,4,211,hibernating
Adhiarja Lazuardi,5581463,429343.0,13,2022-05-24 22:20:53.840619+00:00,2022-07-31 23:59:19.821469+00:00,68,3,3,2,8,233,at risk
Adhiarja Maheswara,928551,232138.0,4,2022-06-12 11:04:34.860628+00:00,2022-07-31 23:59:19.821469+00:00,49,3,2,1,6,123,hibernating
Adhiarja Mangunsong,154121229,2408144.0,64,2022-07-03 11:12:42.876737+00:00,2022-07-31 23:59:19.821469+00:00,28,4,4,5,13,544,champions
Adhiarja Marbun,39600349,747176.0,53,2022-07-31 13:41:15.252890+00:00,2022-07-31 23:59:19.821469+00:00,0,5,4,4,13,445,loyal
Adhiarja Maryadi,4434224,886845.0,5,2021-08-07 19:29:53.337551+00:00,2022-07-31 23:59:19.821469+00:00,358,1,2,2,5,221,hibernating
Adhiarja Megantara,6491546,590141.0,11,2022-06-25 02:14:09.693094+00:00,2022-07-31 23:59:19.821469+00:00,36,4,2,2,8,224,at risk
Adhiarja Mustofa,67994,67994.0,1,2021-07-08 05:16:08.553707+00:00,2022-07-31 23:59:19.821469+00:00,388,1,1,1,3,111,hibernating
Adhiarja Nababan,9026318,644737.0,14,2022-04-17 00:50:50.757023+00:00,2022-07-31 23:59:19.821469+00:00,105,2,3,3,8,332,about to sleep
Adhiarja Nainggolan,4302125,358510.0,12,2022-06-08 16:15:55.407770+00:00,2022-07-31 23:59:19.821469+00:00,53,3,2,2,7,223,at risk
Adhiarja Pradana,4884875,814146.0,6,2021-05-10 22:31:00.761967+00:00,2022-07-31 23:59:19.821469+00:00,447,1,2,2,5,221,hibernating
Adhiarja Pranowo,811968,270656.0,3,2021-12-30 12:31:10.217531+00:00,2022-07-31 23:59:19.821469+00:00,213,2,1,1,4,112,hibernating
Adhiarja Prasasta,654746,327373.0,2,2019-12-21 14:07:30.551316+00:00,2022-07-31 23:59:19.821469+00:00,953,1,1,1,3,111,hibernating
Adhiarja Prasetya,1453902,290780.0,5,2021-06-16 15:57:25.152335+00:00,2022-07-31 23:59:19.821469+00:00,410,1,2,2,5,221,hibernating
Adhiarja Prasetyo,3671850,333805.0,11,2022-06-06 06:52:02.896025+00:00,2022-07-31 23:59:19.821469+00:00,55,3,2,2,7,223,at risk
Adhiarja Putra,22332573,2481397.0,9,2018-11-01 22:22:35.623560+00:00,2022-07-31 23:59:19.821469+00:00,1368,1,2,3,6,321,about to sleep
Adhiarja Rajasa,575949,191983.0,3,2020-12-08 18:43:42.521558+00:00,2022-07-31 23:59:19.821469+00:00,600,1,1,1,3,111,hibernating
Adhiarja Saputra,920104,306701.0,3,2022-05-01 02:38:37.904992+00:00,2022-07-31 23:59:19.821469+00:00,91,3,1,1,5,113,hibernating
Adhiarja Saragih,38014435,1226272.0,31,2022-07-20 01:11:50.567561+00:00,2022-07-31 23:59:19.821469+00:00,11,5,4,4,13,445,loyal
Adhiarja Sihotang,511873,255936.0,2,2021-03-18 00:46:57.153573+00:00,2022-07-31 23:59:19.821469+00:00,500,1,1,1,3,111,hibernating
Adhiarja Simanjuntak,238673,238673.0,1,2020-07-05 04:59:54.931327+00:00,2022-07-31 23:59:19.821469+00:00,756,1,1,1,3,111,hibernating
Adhiarja Siregar,7146255,1429251.0,5,2022-07-21 13:07:08.580067+00:00,2022-07-31 23:59:19.821469+00:00,10,5,2,2,9,225,at risk
Adhiarja Situmorang,217618,217618.0,1,2022-02-06 11:25:18.284263+00:00,2022-07-31 23:59:19.821469+00:00,175,2,1,1,4,112,hibernating
Adhiarja Suryono,25442485,770984.0,33,2022-07-19 18:52:32.167069+00:00,2022-07-31 23:59:19.821469+00:00,12,5,4,4,13,445,loyal
Adhiarja Tamba,6278396,784800.0,8,2022-07-11 12:59:34.264892+00:00,2022-07-31 23:59:19.821469+00:00,20,4,2,2,8,224,at risk
Adhiarja Wacana,8433738,602410.0,14,2022-04-04 02:10:39.791700+00:00,2022-07-31 23:59:19.821469+00:00,118,2,3,3,8,332,about to sleep
Adhiarja Wahyudin,6327716,903959.0,7,2022-05-23 17:10:48.415304+00:00,2022-07-31 23:59:19.821469+00:00,69,3,2,2,7,223,at risk
Adhiarja Waluyo,63448494,933066.0,68,2022-07-01 02:47:56.546430+00:00,2022-07-31 23:59:19.821469+00:00,30,4,5,4,13,454,loyal
Adhiarja Waskita,4374797,437480.0,10,2022-02-16 01:20:42.952957+00:00,2022-07-31 23:59:19.821469+00:00,165,2,2,2,6,222,hibernating
Adhiarja Wibisono,1386035,231006.0,6,2021-04-03 01:26:51.966364+00:00,2022-07-31 23:59:19.821469+00:00,484,1,2,1,4,121,hibernating
Adhiarja Wibowo,905565094,3636808.0,249,2022-07-15 00:00:28.061386+00:00,2022-07-31 23:59:19.821469+00:00,16,5,5,5,15,555,champions
Adiarja Budiman,6663522,832940.0,8,2022-06-16 03:44:02.892562+00:00,2022-07-31 23:59:19.821469+00:00,45,3,2,2,7,223,at risk
Adiarja Dabukke,9323868,466193.0,20,2022-07-20 07:15:49.212717+00:00,2022-07-31 23:59:19.821469+00:00,11,5,3,3,11,335,need attention
Adiarja Dongoran,418166,418166.0,1,2022-01-12 10:04:38.162786+00:00,2022-07-31 23:59:19.821469+00:00,200,2,1,1,4,112,hibernating
Adiarja Firmansyah,772992,257664.0,3,2022-01-16 20:09:04.398118+00:00,2022-07-31 23:59:19.821469+00:00,196,2,1,1,4,112,hibernating
Adiarja Habibi,1498886,499629.0,3,2021-12-12 11:46:10.026298+00:00,2022-07-31 23:59:19.821469+00:00,231,2,1,2,5,212,hibernating
Adiarja Haryanto,369621,369621.0,1,2021-03-28 09:27:04.305600+00:00,2022-07-31 23:59:19.821469+00:00,490,1,1,1,3,111,hibernating
Adiarja Hidayanto,76648491,628266.0,122,2022-07-26 10:45:38.684024+00:00,2022-07-31 23:59:19.821469+00:00,5,5,5,5,15,555,champions
Adiarja Hidayat,676720,338360.0,2,2022-01-27 21:39:54.908824+00:00,2022-07-31 23:59:19.821469+00:00,185,2,1,1,4,112,hibernating
Adiarja Hutasoit,57967022,585525.0,99,2022-06-02 03:56:28.493991+00:00,2022-07-31 23:59:19.821469+00:00,59,3,5,4,12,453,loyal
Adiarja Iswahyudi,15662135,1118724.0,14,2021-12-20 04:25:18.503864+00:00,2022-07-31 23:59:19.821469+00:00,223,2,3,3,8,332,about to sleep
Adiarja Kuswoyo,916307,229077.0,4,2022-04-19 15:14:29.782550+00:00,2022-07-31 23:59:19.821469+00:00,103,2,2,1,5,122,hibernating
Adiarja Lazuardi,628014,628014.0,1,2020-12-27 03:59:12.625964+00:00,2022-07-31 23:59:19.821469+00:00,581,1,1,1,3,111,hibernating
Adiarja Maheswara,4033682,403368.0,10,2022-02-06 17:09:07.364678+00:00,2022-07-31 23:59:19.821469+00:00,175,2,2,2,6,222,hibernating
Adiarja Mandala,102243910,3195122.0,32,2022-06-09 03:33:10.888018+00:00,2022-07-31 23:59:19.821469+00:00,52,3,4,5,12,543,potential loyalist
Adiarja Mangunsong,1911725,382345.0,5,2022-02-05 00:44:56.645838+00:00,2022-07-31 23:59:19.821469+00:00,176,2,2,2,6,222,hibernating
